,postcode,response,Registered Firearms Owners,Registered Firearms,Largest stockpile,parse sucess
160,2171,200,581.0,,,False
161,2172,200,63.0,,,False
162,2173,200,191.0,727.0,26.0,True
163,2174,200,,,,False
164,2175,200,168.0,,,False
165,2176,200,718.0,,,False
166,2177,200,158.0,581.0,37.0,True
167,2178,200,335.0,,,False
168,2179,200,335.0,,,False
169,2190,200,425.0,,,False
170,2191,200,89.0,,,False
171,2192,200,171.0,624.0,29.0,True
172,2193,200,,,,False
173,2194,200,132.0,489.0,50.0,True
174,2195,200,115.0,404.0,56.0,True
175,2196,200,460.0,2007.0,71.0,True
176,2197,200,143.0,574.0,51.0,True
177,2198,200,159.0,733.0,49.0,True
178,2199,200,219.0,868.0,29.0,True
179,2200,200,427.0,1609.0,45.0,True
180,2203,200,57.0,218.0,16.0,True
181,2204,200,143.0,492.0,20.0,True
182,2205,200,141.0,467.0,20.0,True
183,2206,200,332.0,1154.0,20.0,True
184,2207,200,345.0,1588.0,76.0,True
185,2208,200,174.0,719.0,38.0,True
186,2209,200,130.0,475.0,18.0,True
187,2210,200,368.0,1599.0,27.0,True
188,2211,200,200.0,844.0,19.0,True
189,2212,200,197.0,801.0,36.0,True
190,2213,200,337.0,1638.0,150.0,True
191,2214,200,70.0,321.0,39.0,True
192,2216,200,219.0,825.0,36.0,True
193,2217,200,228.0,917.0,41.0,True
194,2218,200,129.0,496.0,40.0,True
195,2219,200,192.0,893.0,43.0,True
196,2220,200,200.0,739.0,18.0,True
197,2221,200,220.0,,,False
198,2222,200,89.0,371.0,23.0,True
199,2223,200,197.0,951.0,73.0,True
200,2224,200,205.0,842.0,20.0,True
201,2225,200,74.0,362.0,23.0,True
202,2226,200,125.0,576.0,43.0,True
203,2227,200,161.0,739.0,54.0,True
204,2228,200,168.0,773.0,66.0,True
205,2229,200,312.0,1347.0,60.0,True
206,2230,200,273.0,1269.0,115.0,True
207,2231,200,60.0,407.0,105.0,True
208,2232,200,419.0,1955.0,79.0,True
209,2233,200,443.0,2050.0,40.0,True
210,2234,200,489.0,2258.0,52.0,True
211,2250,200,1217.0,6494.0,117.0,True
212,2251,200,416.0,1996.0,85.0,True
213,2252,404,,,,
214,2256,200,156.0,691.0,27.0,True
