,postcode,response,Registered Firearms Owners,Registered Firearms,Largest stockpile,parse sucess
53,2060,200,61.0,460.0,,False
54,2061,200,28.0,84.0,9.0,True
55,2062,200,37.0,202.0,75.0,True
56,2063,200,56.0,193.0,16.0,True
57,2064,200,34.0,92.0,7.0,True
58,2065,200,114.0,520.0,23.0,True
59,2066,200,169.0,719.0,45.0,True
60,2067,200,89.0,336.0,26.0,True
61,2068,200,106.0,480.0,50.0,True
62,2069,200,143.0,623.0,39.0,True
63,2070,200,104.0,631.0,124.0,True
64,2071,200,88.0,489.0,79.0,True
65,2072,200,54.0,223.0,29.0,True
66,2073,200,110.0,564.0,53.0,True
67,2074,200,190.0,935.0,35.0,True
68,2075,200,148.0,818.0,70.0,True
69,2076,200,191.0,945.0,40.0,True
70,2077,200,233.0,1216.0,73.0,True
71,2079,200,100.0,416.0,18.0,True
72,2080,200,29.0,110.0,14.0,True
73,2081,200,75.0,364.0,56.0,True
74,2082,200,66.0,352.0,74.0,True
75,2083,200,18.0,88.0,21.0,True
76,2084,200,84.0,595.0,211.0,True
77,2085,200,112.0,647.0,181.0,True
78,2086,200,132.0,610.0,29.0,True
79,2087,200,119.0,528.0,34.0,True
80,2088,200,194.0,1032.0,285.0,True
81,2089,200,62.0,234.0,14.0,True
82,2090,200,72.0,289.0,31.0,True
83,2091,404,,,,
84,2092,200,66.0,256.0,20.0,True
85,2093,200,152.0,659.0,29.0,True
86,2094,200,34.0,140.0,,False
87,2095,200,72.0,260.0,20.0,True
88,2096,200,101.0,406.0,22.0,True
89,2097,200,165.0,818.0,144.0,True
90,2099,200,318.0,1234.0,35.0,True
91,2100,200,212.0,1042.0,76.0,True
92,2101,200,242.0,1177.0,147.0,True
93,2102,200,69.0,355.0,20.0,True
94,2103,200,135.0,560.0,45.0,True
95,2104,200,55.0,297.0,25.0,True
96,2105,200,24.0,68.0,8.0,True
97,2106,200,112.0,321.0,9.0,True
98,2107,200,155.0,658.0,28.0,True
99,2108,200,32.0,127.0,19.0,True
100,2109,404,,,,
101,2110,200,109.0,470.0,35.0,True
102,2111,200,128.0,578.0,41.0,True
103,2112,200,252.0,983.0,49.0,True
104,2113,200,136.0,601.0,32.0,True
105,2114,200,145.0,685.0,86.0,True
106,2115,200,123.0,574.0,39.0,True
107,2116,200,54.0,250.0,26.0,True
108,2117,200,180.0,644.0,17.0,True
109,2118,200,163.0,760.0,34.0,True
110,2119,200,77.0,366.0,24.0,True
111,2120,200,222.0,1092.0,30.0,True
112,2121,200,146.0,688.0,56.0,True
113,2122,200,167.0,765.0,91.0,True
114,2123,404,,,,
115,2124,200,1.0,3.0,3.0,True
116,2125,200,141.0,613.0,44.0,True
117,2126,200,124.0,489.0,23.0,True
118,2127,200,53.0,140.0,17.0,True
119,2128,200,11.0,48.0,13.0,True
120,2129,404,,,,
121,2130,200,32.0,131.0,16.0,True
122,2131,200,95.0,439.0,33.0,True
123,2132,200,122.0,421.0,18.0,True
124,2133,200,139.0,490.0,41.0,True
125,2134,200,68.0,403.0,145.0,True
126,2135,200,154.0,662.0,30.0,True
127,2136,200,106.0,387.0,18.0,True
128,2137,200,304.0,1077.0,47.0,True
129,2138,200,111.0,480.0,42.0,True
130,2139,404,,,,
131,2140,200,46.0,203.0,30.0,True
132,2141,200,147.0,526.0,27.0,True
133,2142,200,210.0,768.0,33.0,True
134,2143,200,55.0,193.0,22.0,True
135,2144,200,191.0,,,False
136,2145,200,785.0,3275.0,55.0,True
137,2146,200,159.0,733.0,27.0,True
138,2147,200,458.0,1965.0,84.0,True
139,2148,200,643.0,2609.0,43.0,True
140,2150,200,81.0,297.0,21.0,True
141,2151,200,183.0,800.0,36.0,True
142,2152,200,107.0,415.0,21.0,True
143,2153,200,586.0,2819.0,100.0,True
144,2154,200,376.0,1541.0,29.0,True
145,2155,200,615.0,2468.0,47.0,True
146,2156,200,423.0,1879.0,116.0,True
147,2157,200,236.0,985.0,30.0,True
148,2158,200,219.0,956.0,34.0,True
149,2159,200,222.0,858.0,19.0,True
150,2160,200,427.0,1503.0,47.0,True
151,2161,200,421.0,1590.0,46.0,True
152,2162,200,196.0,799.0,53.0,True
153,2163,200,72.0,295.0,29.0,True
154,2164,200,292.0,1184.0,,False
155,2165,200,312.0,1024.0,,False
156,2166,200,239.0,921.0,,False
157,2167,200,83.0,493.0,,False
158,2168,200,429.0,1665.0,,False
159,2170,200,1262.0,4837.0,,False
160,2171,200,577.0,1997.0,,False
161,2172,200,59.0,278.0,,False
162,2173,200,170.0,639.0,21.0,True
163,2174,200,,,,False
164,2175,200,170.0,696.0,,False
165,2176,200,698.0,2505.0,,False
166,2177,200,155.0,529.0,34.0,True
167,2178,200,328.0,1224.0,,False
168,2179,200,345.0,1483.0,,False
169,2190,200,406.0,1494.0,,False
170,2191,200,86.0,289.0,,False
171,2192,200,160.0,563.0,24.0,True
172,2193,200,,,,False
173,2194,200,123.0,443.0,42.0,True
174,2195,200,113.0,381.0,56.0,True
175,2196,200,438.0,1829.0,65.0,True
176,2197,200,126.0,500.0,52.0,True
177,2198,200,174.0,770.0,40.0,True
178,2199,200,213.0,786.0,30.0,True
179,2200,200,416.0,1512.0,40.0,True
180,2203,200,60.0,262.0,38.0,True
181,2204,200,127.0,425.0,18.0,True
182,2205,200,129.0,428.0,21.0,True
183,2206,200,333.0,1100.0,22.0,True
184,2207,200,339.0,1521.0,74.0,True
185,2208,200,156.0,603.0,26.0,True
186,2209,200,138.0,476.0,16.0,True
187,2210,200,350.0,1373.0,24.0,True
188,2211,200,199.0,817.0,18.0,True
189,2212,200,177.0,716.0,22.0,True
190,2213,200,324.0,1475.0,131.0,True
191,2214,200,70.0,339.0,37.0,True
192,2216,200,209.0,756.0,36.0,True
193,2217,200,221.0,875.0,35.0,True
194,2218,200,124.0,452.0,23.0,True
195,2219,200,180.0,821.0,42.0,True
196,2220,200,199.0,710.0,16.0,True
197,2221,200,230.0,,,False
198,2222,200,89.0,397.0,46.0,True
199,2223,200,208.0,1002.0,86.0,True
200,2224,200,204.0,839.0,20.0,True
201,2225,200,64.0,323.0,23.0,True
202,2226,200,125.0,596.0,44.0,True
203,2227,200,159.0,701.0,49.0,True
204,2228,200,167.0,674.0,67.0,True
205,2229,200,310.0,1313.0,64.0,True
206,2230,200,266.0,1149.0,99.0,True
207,2231,200,64.0,335.0,60.0,True
208,2232,200,396.0,1846.0,79.0,True
209,2233,200,442.0,2045.0,66.0,True
210,2234,200,460.0,2011.0,46.0,True
211,2250,200,1203.0,6032.0,114.0,True
212,2251,200,382.0,1858.0,87.0,True
213,2252,404,,,,
214,2256,200,151.0,673.0,26.0,True
215,2257,200,303.0,1480.0,33.0,True
216,2258,200,136.0,593.0,34.0,True
217,2259,200,1124.0,5191.0,62.0,True
218,2260,200,252.0,1065.0,79.0,True
219,2261,200,579.0,2946.0,115.0,True
220,2262,200,225.0,1018.0,51.0,True
221,2263,200,257.0,968.0,45.0,True
222,2264,200,362.0,1534.0,42.0,True
223,2265,200,197.0,,,False
224,2267,200,76.0,400.0,32.0,True
225,2278,200,105.0,515.0,36.0,True
226,2280,200,455.0,2067.0,27.0,True
227,2281,200,271.0,1128.0,20.0,True
228,2282,200,235.0,968.0,38.0,True
229,2283,200,480.0,2257.0,46.0,True
230,2284,200,168.0,855.0,46.0,True
231,2285,200,506.0,2564.0,310.0,True
232,2286,200,123.0,620.0,82.0,True
233,2287,200,550.0,2347.0,34.0,True
234,2289,200,215.0,985.0,30.0,True
235,2290,200,465.0,2097.0,32.0,True
236,2291,200,134.0,634.0,43.0,True
237,2292,200,17.0,66.0,13.0,True
238,2293,200,21.0,82.0,17.0,True
239,2294,200,14.0,89.0,25.0,True
240,2295,200,119.0,555.0,35.0,True
241,2296,200,18.0,108.0,30.0,True
242,2297,200,9.0,34.0,9.0,True
243,2298,200,78.0,355.0,37.0,True
244,2299,200,108.0,494.0,21.0,True
245,2300,200,71.0,262.0,31.0,True
246,2302,200,4.0,13.0,10.0,True
247,2303,200,61.0,223.0,11.0,True
248,2304,200,141.0,653.0,45.0,True
249,2305,200,104.0,525.0,31.0,True
250,2306,200,15.0,64.0,9.0,True
251,2307,200,60.0,291.0,19.0,True
252,2308,200,,,,False
253,2309,404,,,,
254,2310,404,,,,
255,2311,200,157.0,632.0,17.0,True
256,2312,200,130.0,570.0,26.0,True
257,2314,200,4.0,6.0,6.0,True
258,2315,200,261.0,1029.0,34.0,True
259,2316,200,155.0,712.0,26.0,True
260,2317,200,106.0,491.0,14.0,True
261,2318,200,427.0,2184.0,167.0,True
262,2319,200,179.0,,,False
263,2320,200,1084.0,4826.0,126.0,True
264,2321,200,722.0,3022.0,27.0,True
265,2322,200,494.0,2247.0,24.0,True
266,2323,200,601.0,2761.0,59.0,True
267,2324,200,751.0,3278.0,110.0,True
268,2325,200,1405.0,6825.0,61.0,True
269,2326,200,292.0,1313.0,50.0,True
270,2327,200,216.0,922.0,22.0,True
271,2328,200,246.0,1189.0,40.0,True
272,2329,200,355.0,1625.0,52.0,True
273,2330,200,1429.0,6781.0,145.0,True
274,2331,404,,,,
275,2333,200,889.0,4092.0,38.0,True
276,2334,200,161.0,701.0,32.0,True
277,2335,200,478.0,2121.0,37.0,True
278,2336,200,282.0,1285.0,29.0,True
279,2337,200,805.0,3791.0,68.0,True
280,2338,200,200.0,915.0,27.0,True
281,2339,200,144.0,605.0,28.0,True
282,2340,200,2827.0,13665.0,122.0,True
283,2341,200,101.0,486.0,24.0,True
284,2342,200,83.0,406.0,29.0,True
285,2343,200,602.0,2816.0,32.0,True
286,2344,200,131.0,643.0,70.0,True
287,2345,200,128.0,525.0,26.0,True
288,2346,200,403.0,1887.0,104.0,True
289,2347,200,324.0,1417.0,25.0,True
290,2348,404,,,,
291,2350,200,1468.0,7005.0,71.0,True
292,2351,404,,,,
293,2352,200,322.0,1524.0,45.0,True
294,2353,200,155.0,1089.0,312.0,True
295,2354,200,699.0,3315.0,59.0,True
296,2355,200,155.0,655.0,20.0,True
297,2356,200,23.0,89.0,13.0,True
298,2357,200,536.0,2545.0,90.0,True
299,2358,200,496.0,2454.0,73.0,True
300,2359,200,170.0,713.0,20.0,True
301,2360,200,1421.0,6750.0,55.0,True
302,2361,200,185.0,887.0,31.0,True
303,2365,200,546.0,3065.0,83.0,True
304,2369,200,123.0,542.0,16.0,True
305,2370,200,814.0,3996.0,68.0,True
306,2371,200,224.0,1021.0,25.0,True
307,2372,200,690.0,3255.0,30.0,True
308,2379,200,92.0,429.0,40.0,True
309,2380,200,912.0,4013.0,62.0,True
310,2381,200,207.0,861.0,27.0,True
311,2382,200,195.0,911.0,21.0,True
312,2386,200,87.0,419.0,22.0,True
313,2387,200,51.0,274.0,18.0,True
314,2388,200,370.0,1716.0,27.0,True
315,2390,200,865.0,4083.0,38.0,True
316,2395,200,136.0,531.0,26.0,True
317,2396,200,130.0,563.0,,False
318,2397,200,83.0,426.0,17.0,True
319,2398,200,47.0,250.0,25.0,True
320,2399,200,100.0,492.0,17.0,True
321,2400,200,810.0,3799.0,35.0,True
322,2401,200,63.0,336.0,,False
323,2402,200,274.0,1219.0,,False
324,2403,200,147.0,702.0,,False
325,2404,200,252.0,1199.0,,False
326,2405,200,102.0,553.0,,False
327,2406,200,,,,False
328,2408,200,76.0,415.0,,False
329,2409,200,67.0,381.0,,False
330,2410,200,53.0,268.0,,False
331,2411,200,14.0,49.0,11.0,True
332,2415,200,48.0,203.0,23.0,True
333,2420,200,378.0,1547.0,,False
334,2421,200,199.0,822.0,,False
335,2422,200,555.0,2380.0,,False
336,2423,200,260.0,1014.0,,False
337,2424,200,75.0,349.0,27.0,True
338,2425,200,,,,False
339,2426,200,34.0,117.0,18.0,True
340,2427,200,105.0,526.0,75.0,True
341,2428,200,420.0,1746.0,,False
342,2429,200,791.0,3347.0,,False
343,2430,200,1106.0,4699.0,67.0,True
344,2431,200,158.0,856.0,38.0,True
345,2439,200,168.0,736.0,52.0,True
346,2440,200,1279.0,5644.0,87.0,True
347,2441,200,412.0,1693.0,44.0,True
348,2442,404,,,,
349,2443,200,324.0,1424.0,73.0,True
350,2444,200,797.0,3446.0,38.0,True
351,2445,200,156.0,613.0,18.0,True
352,2446,200,891.0,3599.0,52.0,True
353,2447,200,414.0,1743.0,19.0,True
354,2448,200,203.0,820.0,29.0,True
355,2449,200,162.0,728.0,57.0,True
356,2450,200,1210.0,5686.0,73.0,True
357,2452,200,231.0,1012.0,34.0,True
358,2453,200,326.0,1251.0,25.0,True
359,2454,200,283.0,1213.0,54.0,True
360,2455,200,115.0,553.0,45.0,True
361,2456,200,348.0,1368.0,22.0,True
362,2460,200,1730.0,7829.0,64.0,True
363,2462,200,228.0,983.0,55.0,True
364,2463,200,381.0,1710.0,32.0,True
365,2464,200,110.0,472.0,18.0,True
366,2465,200,19.0,106.0,24.0,True
367,2466,200,56.0,293.0,26.0,True
368,2469,200,466.0,1825.0,32.0,True
369,2470,200,876.0,3916.0,45.0,True
370,2471,200,178.0,779.0,52.0,True
371,2472,200,130.0,492.0,19.0,True
372,2473,200,62.0,251.0,11.0,True
373,2474,200,494.0,1975.0,40.0,True
374,2475,200,49.0,282.0,33.0,True
375,2476,200,86.0,378.0,22.0,True
376,2477,200,407.0,2057.0,237.0,True
377,2478,200,399.0,1378.0,16.0,True
378,2479,200,174.0,578.0,19.0,True
379,2480,404,,,,
380,2481,200,1549.0,5958.0,51.0,True
381,2482,200,145.0,554.0,24.0,True
382,2483,200,194.0,681.0,17.0,True
383,2484,200,707.0,2763.0,49.0,True
384,2485,200,94.0,376.0,19.0,True
385,2486,200,400.0,1619.0,51.0,True
386,2487,200,141.0,547.0,56.0,True
387,2488,200,29.0,147.0,26.0,True
388,2489,200,75.0,307.0,23.0,True
389,2490,200,18.0,82.0,11.0,True
390,2500,200,,,,False
391,2502,200,162.0,731.0,62.0,True
392,2505,200,76.0,262.0,18.0,True
393,2506,200,119.0,521.0,41.0,True
394,2508,200,208.0,877.0,26.0,True
395,2515,200,151.0,703.0,30.0,True
396,2516,200,78.0,336.0,19.0,True
397,2517,200,164.0,718.0,79.0,True
398,2518,200,269.0,1273.0,141.0,True
399,2519,200,269.0,1139.0,43.0,True
400,2520,404,,,,
401,2521,404,,,,
402,2522,404,,,,
403,2525,200,180.0,746.0,24.0,True
404,2526,200,311.0,1470.0,58.0,True
405,2527,200,491.0,2022.0,26.0,True
406,2528,200,357.0,1364.0,36.0,True
407,2529,200,471.0,1941.0,30.0,True
408,2530,200,644.0,2933.0,55.0,True
409,2533,200,368.0,1686.0,58.0,True
410,2534,200,106.0,466.0,30.0,True
411,2535,200,272.0,1070.0,50.0,True
412,2536,200,554.0,2518.0,45.0,True
413,2537,200,452.0,2058.0,72.0,True
414,2538,200,196.0,893.0,21.0,True
415,2539,200,522.0,2320.0,70.0,True
416,2540,200,1415.0,6462.0,83.0,True
417,2541,200,541.0,2829.0,102.0,True
418,2545,200,91.0,390.0,19.0,True
419,2546,200,412.0,1789.0,27.0,True
420,2548,404,,,,
421,2549,200,248.0,976.0,34.0,True
422,2550,200,1378.0,5511.0,28.0,True
423,2551,404,,,,
424,2555,200,23.0,76.0,12.0,True
425,2556,200,211.0,814.0,20.0,True
426,2557,200,328.0,1434.0,65.0,True
427,2558,404,,,,
428,2559,200,9.0,22.0,7.0,True
429,2560,200,966.0,4156.0,84.0,True
430,2563,404,,,,
431,2564,200,84.0,299.0,16.0,True
432,2565,200,,,,False
433,2566,200,,,,False
434,2567,200,,,,False
435,2568,200,,,,False
436,2569,200,,,,False
437,2570,200,,,,False
438,2571,200,,,,False
439,2572,200,,,,False
440,2573,404,,,,
441,2574,200,,,,False
442,2575,404,,,,
443,2576,200,,,,False
444,2577,200,,,,False
445,2578,200,,,,False
446,2579,200,,,,False
447,2580,200,,,,False
448,2581,200,,,,False
449,2582,200,,,,False
450,2583,200,,,,False
451,2584,200,,,,False
452,2585,200,,,,False
453,2586,200,,,,False
454,2587,200,,,,False
455,2588,200,,,,False
456,2590,200,,,,False
457,2594,200,,,,False
458,2611,200,,,,False
459,2618,200,,,,False
460,2619,404,,,,
461,2620,200,,,,False
462,2621,200,,,,False
463,2622,200,,,,False
464,2623,200,,,,False
465,2624,200,,,,False
466,2625,404,,,,
467,2626,200,,,,False
468,2627,200,,,,False
469,2628,200,,,,False
470,2629,200,,,,False
471,2630,200,,,,False
472,2631,200,,,,False
473,2632,200,,,,False
474,2633,200,,,,False
475,2640,200,,,,False
476,2641,200,,,,False
477,2642,200,,,,False
478,2643,200,,,,False
479,2644,200,,,,False
480,2645,200,,,,False
481,2646,200,,,,False
482,2647,200,,,,False
483,2648,200,,,,False
484,2649,200,,,,False
485,2650,200,,,,False
486,2651,200,,,,False
487,2652,200,,,,False
488,2653,200,,,,False
489,2655,200,,,,False
490,2656,200,,,,False
491,2658,200,,,,False
492,2659,404,,,,
493,2660,200,,,,False
494,2661,200,,,,False
495,2663,200,,,,False
496,2665,200,,,,False
497,2666,200,,,,False
498,2668,200,,,,False
499,2669,200,,,,False
500,2671,404,,,,
501,2672,200,,,,False
502,2675,200,,,,False
503,2678,404,,,,
504,2680,200,,,,False
505,2681,200,,,,False
506,2700,200,,,,False
507,2701,200,,,,False
508,2702,200,,,,False
509,2703,200,,,,False
510,2705,200,,,,False
511,2706,200,,,,False
512,2707,200,,,,False
513,2708,404,,,,
514,2710,200,,,,False
515,2711,200,,,,False
516,2712,200,,,,False
517,2713,200,,,,False
518,2714,200,,,,False
519,2715,200,,,,False
520,2716,200,,,,False
521,2717,200,,,,False
522,2720,200,,,,False
523,2721,200,,,,False
524,2722,200,,,,False
525,2725,200,,,,False
526,2726,200,,,,False
527,2727,200,,,,False
528,2729,200,,,,False
529,2730,200,,,,False
530,2731,200,,,,False
531,2732,200,,,,False
532,2733,200,,,,False
533,2734,200,,,,False
534,2735,200,,,,False
535,2736,200,,,,False
536,2737,200,,,,False
537,2738,200,,,,False
538,2739,200,,,,False
539,2745,404,,,,
540,2747,200,,,,False
541,2748,200,,,,False
542,2749,200,,,,False
543,2750,200,,,,False
544,2751,404,,,,
545,2752,200,,,,False
546,2753,200,,,,False
547,2754,200,,,,False
548,2755,200,,,,False
549,2756,200,,,,False
550,2757,200,,,,False
551,2758,200,,,,False
552,2759,200,,,,False
553,2760,200,,,,False
554,2761,200,,,,False
555,2762,200,,,,False
556,2763,200,,,,False
557,2765,200,,,,False
558,2766,200,,,,False
559,2767,200,,,,False
560,2768,200,,,,False
561,2769,200,,,,False
562,2770,200,,,,False
563,2773,200,,,,False
564,2774,200,,,,False
565,2775,200,,,,False
566,2776,200,,,,False
567,2777,200,,,,False
568,2778,200,,,,False
569,2779,200,,,,False
570,2780,200,,,,False
571,2782,200,,,,False
572,2783,200,,,,False
573,2784,200,,,,False
574,2785,404,,,,
575,2786,200,,,,False
576,2787,200,,,,False
577,2790,200,,,,False
578,2791,200,,,,False
579,2792,200,,,,False
580,2793,200,,,,False
581,2794,200,,,,False
582,2795,200,,,,False
583,2796,404,,,,
584,2797,200,,,,False
585,2798,200,,,,False
586,2799,200,,,,False
587,2800,200,,,,False
588,2803,200,,,,False
589,2804,200,,,,False
590,2805,200,,,,False
591,2806,200,,,,False
592,2807,200,,,,False
593,2808,200,,,,False
594,2809,200,,,,False
595,2810,200,,,,False
596,2817,200,,,,False
597,2818,200,,,,False
598,2820,404,,,,
599,2821,200,,,,False
600,2822,200,,,,False
601,2823,200,,,,False
602,2824,200,,,,False
603,2825,200,,,,False
604,2826,200,,,,False
605,2827,200,,,,False
606,2828,200,,,,False
607,2829,200,,,,False
608,2830,200,,,,False
609,2831,200,,,,False
610,2832,200,,,,False
611,2833,200,,,,False
612,2834,404,,,,
613,2835,200,,,,False
614,2836,200,,,,False
615,2838,200,,,,False
616,2839,200,,,,False
617,2840,404,,,,
618,2842,200,,,,False
619,2843,200,,,,False
620,2844,200,,,,False
621,2845,200,,,,False
622,2846,200,,,,False
623,2847,200,,,,False
624,2848,200,,,,False
625,2849,200,,,,False
626,2850,200,,,,False
627,2852,200,,,,False
628,2864,200,,,,False
629,2865,200,,,,False
630,2866,200,,,,False
631,2867,200,,,,False
632,2868,200,,,,False
633,2869,200,,,,False
634,2870,200,,,,False
635,2871,200,,,,False
636,2873,200,,,,False
637,2874,200,,,,False
638,2875,200,,,,False
639,2876,200,,,,False
640,2877,200,,,,False
641,2878,200,,,,False
642,2879,200,,,,False
643,2880,200,,,,False
644,2890,404,,,,
645,2891,404,,,,
646,2898,200,,,,False
647,2899,200,,,,False
