,postcode,response,Registered Firearms Owners,Registered Firearms,Largest stockpile,parse sucess
0,2000,200,52.0,238.0,56.0,True
1,2001,404,,,,
2,2002,404,,,,
3,2004,404,,,,
4,2006,404,,,,
5,2007,200,11.0,31.0,9.0,True
6,2008,200,15.0,35.0,5.0,True
7,2009,200,39.0,130.0,13.0,True
8,2010,200,59.0,254.0,60.0,True
9,2011,200,58.0,247.0,37.0,True
10,2012,404,,,,
11,2013,404,,,,
12,2015,200,22.0,84.0,17.0,True
13,2016,200,31.0,131.0,18.0,True
14,2017,200,46.0,146.0,15.0,True
15,2018,200,93.0,305.0,18.0,True
16,2019,200,91.0,488.0,58.0,True
17,2020,200,,,,False
18,2021,200,78.0,282.0,16.0,True
19,2022,200,43.0,185.0,16.0,True
20,2023,200,54.0,264.0,20.0,True
21,2024,200,41.0,147.0,11.0,True
22,2025,200,39.0,120.0,9.0,True
23,2026,200,97.0,381.0,72.0,True
24,2027,200,62.0,281.0,29.0,True
25,2028,200,28.0,113.0,19.0,True
26,2029,200,38.0,113.0,8.0,True
27,2030,200,110.0,436.0,35.0,True
28,2031,200,138.0,683.0,76.0,True
29,2032,200,73.0,315.0,24.0,True
30,2033,200,51.0,215.0,30.0,True
31,2034,200,102.0,370.0,24.0,True
32,2035,200,248.0,1152.0,,False
33,2036,200,256.0,1428.0,,False
34,2037,200,61.0,220.0,12.0,True
35,2038,200,42.0,178.0,19.0,True
36,2039,200,31.0,154.0,48.0,True
37,2040,200,125.0,477.0,20.0,True
38,2041,200,75.0,267.0,13.0,True
39,2042,200,45.0,181.0,19.0,True
40,2043,200,13.0,43.0,21.0,True
41,2044,200,43.0,141.0,8.0,True
42,2045,200,95.0,320.0,15.0,True
43,2046,200,270.0,998.0,64.0,True
44,2047,200,108.0,504.0,39.0,True
45,2048,200,43.0,177.0,39.0,True
46,2049,200,67.0,214.0,15.0,True
47,2050,200,11.0,22.0,6.0,True
48,2052,404,,,,
49,2055,404,,,,
50,2057,404,,,,
51,2058,404,,,,
52,2059,404,,,,
