,postcode,response,Registered Firearms Owners,Registered Firearms,Largest stockpile,parse sucess
256,2312,200,,,,False
257,2314,200,,,,False
258,2315,200,,,,False
259,2316,200,,,,False
260,2317,200,,,,False
261,2318,200,,,,False
262,2319,200,,,,False
263,2320,200,,,,False
264,2321,200,,,,False
265,2322,200,,,,False
266,2323,200,,,,False
267,2324,200,,,,False
268,2325,200,,,,False
269,2326,200,,,,False
270,2327,200,,,,False
271,2328,200,,,,False
272,2329,200,,,,False
273,2330,200,,,,False
274,2331,404,,,,
275,2333,200,,,,False
276,2334,200,,,,False
277,2335,200,,,,False
278,2336,200,,,,False
279,2337,200,,,,False
280,2338,200,,,,False
281,2339,200,,,,False
282,2340,200,,,,False
283,2341,200,,,,False
284,2342,200,,,,False
285,2343,200,,,,False
286,2344,200,,,,False
287,2345,200,,,,False
288,2346,200,,,,False
289,2347,200,,,,False
290,2348,404,,,,
291,2350,200,,,,False
292,2351,404,,,,
293,2352,200,,,,False
294,2353,200,,,,False
295,2354,200,,,,False
296,2355,200,,,,False
297,2356,200,,,,False
298,2357,200,,,,False
299,2358,200,,,,False
300,2359,200,,,,False
301,2360,200,,,,False
302,2361,200,,,,False
303,2365,200,,,,False
304,2369,200,,,,False
305,2370,200,,,,False
306,2371,200,,,,False
307,2372,200,,,,False
308,2379,200,,,,False
309,2380,200,,,,False
310,2381,200,,,,False
311,2382,200,,,,False
312,2386,200,,,,False
313,2387,200,,,,False
314,2388,200,,,,False
315,2390,200,,,,False
316,2395,200,,,,False
317,2396,200,,,,False
318,2397,200,,,,False
319,2398,200,,,,False
320,2399,200,,,,False
321,2400,200,,,,False
322,2401,200,,,,False
323,2402,200,,,,False
324,2403,200,,,,False
325,2404,200,,,,False
326,2405,200,,,,False
327,2406,200,,,,False
328,2408,200,,,,False
329,2409,200,,,,False
330,2410,200,,,,False
331,2411,200,,,,False
332,2415,200,,,,False
333,2420,200,,,,False
334,2421,200,,,,False
335,2422,200,,,,False
336,2423,200,,,,False
337,2424,200,,,,False
338,2425,200,,,,False
339,2426,200,,,,False
340,2427,200,,,,False
341,2428,200,,,,False
342,2429,200,,,,False
343,2430,200,,,,False
344,2431,200,,,,False
345,2439,200,,,,False
346,2440,200,,,,False
347,2441,200,,,,False
348,2442,404,,,,
349,2443,200,,,,False
350,2444,200,,,,False
351,2445,200,,,,False
352,2446,200,,,,False
353,2447,200,,,,False
354,2448,200,,,,False
355,2449,200,,,,False
356,2450,200,,,,False
357,2452,200,,,,False
358,2453,200,,,,False
359,2454,200,,,,False
360,2455,200,,,,False
361,2456,200,,,,False
362,2460,200,,,,False
363,2462,200,,,,False
364,2463,200,,,,False
365,2464,200,,,,False
366,2465,200,,,,False
367,2466,200,,,,False
368,2469,200,,,,False
369,2470,200,,,,False
370,2471,200,,,,False
371,2472,200,,,,False
372,2473,200,,,,False
373,2474,200,,,,False
374,2475,200,,,,False
375,2476,200,,,,False
376,2477,200,,,,False
377,2478,200,,,,False
378,2479,200,,,,False
379,2480,404,,,,
380,2481,200,,,,False
381,2482,200,,,,False
382,2483,200,,,,False
383,2484,200,,,,False
384,2485,200,,,,False
385,2486,200,,,,False
386,2487,200,,,,False
387,2488,200,,,,False
388,2489,200,,,,False
389,2490,200,,,,False
390,2500,200,,,,False
391,2502,200,,,,False
392,2505,200,,,,False
393,2506,200,,,,False
394,2508,200,,,,False
395,2515,200,,,,False
396,2516,200,,,,False
397,2517,200,,,,False
398,2518,200,,,,False
399,2519,200,,,,False
400,2520,404,,,,
401,2521,404,,,,
402,2522,404,,,,
403,2525,200,,,,False
404,2526,200,,,,False
405,2527,200,,,,False
406,2528,200,,,,False
407,2529,200,,,,False
408,2530,200,,,,False
409,2533,200,,,,False
410,2534,200,,,,False
411,2535,200,,,,False
412,2536,200,,,,False
413,2537,200,,,,False
414,2538,200,,,,False
415,2539,200,,,,False
416,2540,200,,,,False
417,2541,200,,,,False
418,2545,200,,,,False
419,2546,200,,,,False
420,2548,404,,,,
